Training Loss,Validation Loss
0.46691998839378357,0.5981
0.6753599643707275,0.7011
0.7477399706840515,0.7136
0.7781999707221985,0.7759
0.7989199757575989,0.7841
0.806879997253418,0.8047
0.8167200088500977,0.766
0.819159984588623,0.8089
0.8274199962615967,0.8036
0.8261199593544006,0.8019
0.8298999667167664,0.7986
0.8336399793624878,0.7948
0.8346999883651733,0.7673
0.8348599672317505,0.8129
0.8363800048828125,0.8254
0.8396799564361572,0.8079
0.839419960975647,0.8326
0.8407799601554871,0.8081
0.839739978313446,0.8248
0.84197998046875,0.825
0.8438599705696106,0.8243
0.8424800038337708,0.7625
0.8440799713134766,0.8395
0.8438999652862549,0.78
0.8439599871635437,0.8163
0.8458999991416931,0.7172
0.8426199555397034,0.811
0.8445799946784973,0.7911
0.8464999794960022,0.8153
0.8471199870109558,0.8071
0.8454999923706055,0.8175
0.8468199968338013,0.8062
0.8471799492835999,0.8101
0.8699199557304382,0.8732
0.8776599764823914,0.8765
0.8773599863052368,0.8773
0.8814199566841125,0.8801
0.882420003414154,0.8712
0.8817999958992004,0.8807
0.8827599883079529,0.8781
0.8804399967193604,0.8806
0.8820799589157104,0.8799
0.882099986076355,0.8819
0.8855599761009216,0.8801
0.8854199647903442,0.879
0.8854199647903442,0.8789
0.8843599557876587,0.8739
0.8843199610710144,0.877
0.8845599889755249,0.8775
0.8859399557113647,0.8786
0.8863399624824524,0.879
0.8860799670219421,0.8771
0.8850199580192566,0.8785
0.884119987487793,0.8768
0.8855999708175659,0.8799
0.8865399956703186,0.8688
0.8862199783325195,0.8781
0.8850399851799011,0.877
0.8855199813842773,0.8701
0.8840999603271484,0.8725
0.885919988155365,0.8818
0.8847000002861023,0.877
0.8870199918746948,0.8793
0.8855599761009216,0.8767
0.8850199580192566,0.871
0.885979950428009,0.8803
0.8889999985694885,0.8864
0.891979992389679,0.8889
0.8919399976730347,0.8869
0.893839955329895,0.8861
0.8912999629974365,0.8889
0.8930400013923645,0.8875
0.8951399922370911,0.8857
0.8923999667167664,0.8872
0.8934399485588074,0.8871
0.8944399952888489,0.8864
0.8944000005722046,0.8883
0.8917799592018127,0.8871
0.8942199945449829,0.8852
0.8956199884414673,0.8878
0.8944199681282043,0.8876
0.8952199816703796,0.8858
0.8952399492263794,0.8876
0.894819974899292,0.8864
0.8938999772071838,0.8866
0.8961199522018433,0.8867
0.8925999999046326,0.8881
0.894819974899292,0.8888
0.893619954586029,0.8857
0.8949199914932251,0.887
0.8953199982643127,0.8892
0.8953999876976013,0.888
0.8952599763870239,0.8866
0.8965999484062195,0.8875
0.8977599740028381,0.889
0.8938799500465393,0.8864
0.8950199484825134,0.8861
0.8958399891853333,0.8872
0.8955399990081787,0.888
0.8936399817466736,0.8875
