Training Loss,Validation Loss
0.13575999438762665,0.1867
0.26249998807907104,0.3119
0.36635997891426086,0.4002
0.43817999958992004,0.4107
0.4973199963569641,0.4554
0.5341799855232239,0.5151
0.5626999735832214,0.5367
0.5791000127792358,0.5179
0.5949199795722961,0.5399
0.6077799797058105,0.4903
0.6146399974822998,0.5306
0.6241599917411804,0.5212
0.6322799921035767,0.56
0.6384999752044678,0.5712
0.6435199975967407,0.5925
0.6484799981117249,0.5939
0.6513800024986267,0.6012
0.6578199863433838,0.5856
0.6589800119400024,0.5805
0.6616199612617493,0.5392
0.6658399701118469,0.5699
0.6693199872970581,0.5885
0.66975998878479,0.5947
0.6713799834251404,0.577
0.6741200089454651,0.6063
0.6764999628067017,0.5993
0.6773599982261658,0.5918
0.6783599853515625,0.5848
0.6830199956893921,0.6119
0.6805399656295776,0.6029
0.6832999587059021,0.6132
0.683739960193634,0.6322
0.6851199865341187,0.5972
0.7886999845504761,0.7344
0.8277199864387512,0.7485
0.8445599675178528,0.751
0.8560400009155273,0.7517
0.8645399808883667,0.7484
0.8743199706077576,0.7508
0.8831999897956848,0.7519
0.8907600045204163,0.7451
0.8962399959564209,0.7521
0.9023399949073792,0.7508
0.9057599902153015,0.7459
0.9108999967575073,0.7473
0.9149799942970276,0.7531
0.9188399910926819,0.7461
0.9242199659347534,0.7393
0.9254199862480164,0.7434
0.9304599761962891,0.7457
0.9303999543190002,0.74
0.9332799911499023,0.7329
0.9345799684524536,0.7327
0.9363999962806702,0.7363
0.9370200037956238,0.7298
0.9396599531173706,0.7296
0.9400999546051025,0.7315
0.9402599930763245,0.7262
0.9414399862289429,0.733
0.9442799687385559,0.7309
0.9436599612236023,0.7286
0.9435199499130249,0.7166
0.942359983921051,0.7265
0.9439399838447571,0.7247
0.9450799822807312,0.7271
0.9415799975395203,0.7218
0.9701599478721619,0.7554
0.9805600047111511,0.7605
0.982979953289032,0.7609
0.9847399592399597,0.7607
0.986799955368042,0.7599
0.9868999719619751,0.7601
0.9884199500083923,0.7624
0.9893199801445007,0.7629
0.9900799989700317,0.7622
0.9906399846076965,0.7607
0.9904999732971191,0.7618
0.9908799529075623,0.7612
0.9918599724769592,0.7602
0.991599977016449,0.761
0.9922799468040466,0.7615
0.9925199747085571,0.7619
0.9926999807357788,0.7628
0.9930399656295776,0.7615
0.993619978427887,0.7626
0.9937799572944641,0.7638
0.9935799837112427,0.7613
0.9945799708366394,0.7611
0.9938799738883972,0.7618
0.994379997253418,0.7603
0.994379997253418,0.7628
0.9943599700927734,0.7645
0.9953799843788147,0.7616
0.9948199987411499,0.7621
0.9948599934577942,0.7636
0.9954800009727478,0.7607
0.9950999617576599,0.7616
0.9955599904060364,0.765
0.9952600002288818,0.7635
0.9956799745559692,0.7602
