Training Loss,Validation Loss
0.12811999022960663,0.1973
0.259799987077713,0.3109
0.3744399845600128,0.3953
0.44801998138427734,0.4345
0.49427998065948486,0.4673
0.5308600068092346,0.5012
0.5593000054359436,0.5313
0.5774199962615967,0.5597
0.5905199646949768,0.5084
0.6032800078392029,0.564
0.6135199666023254,0.5654
0.6232399940490723,0.5313
0.6277799606323242,0.5609
0.6376000046730042,0.5774
0.640779972076416,0.5953
0.6482799649238586,0.5798
0.6517399549484253,0.5852
0.6558600068092346,0.5786
0.6629599928855896,0.5977
0.6651600003242493,0.5856
0.667739987373352,0.5997
0.6684600114822388,0.6008
0.6761599779129028,0.5922
0.6745799779891968,0.6005
0.6766600012779236,0.5716
0.6787199974060059,0.5959
0.6836000084877014,0.5967
0.6830599904060364,0.6043
0.684179961681366,0.6078
0.6858999729156494,0.6004
0.6869999766349792,0.6022
0.6898399591445923,0.5689
0.6903799772262573,0.597
0.8057599663734436,0.7381
0.8410199880599976,0.7442
0.8599799871444702,0.745
0.8743599653244019,0.7457
0.8826199769973755,0.7481
0.8923199772834778,0.7462
0.9001399874687195,0.7478
0.9098599553108215,0.7479
0.9132199883460999,0.7411
0.919979989528656,0.7457
0.9256799817085266,0.748
0.9305799603462219,0.7438
0.9355599880218506,0.7426
0.9380799531936646,0.737
0.9421399831771851,0.7377
0.946619987487793,0.7431
0.9477399587631226,0.7303
0.9472799897193909,0.7389
0.9502599835395813,0.7382
0.9518799781799316,0.7371
0.9527199864387512,0.7343
0.9534800052642822,0.7334
0.9536999464035034,0.7416
0.9551399946212769,0.7316
0.9522599577903748,0.7305
0.9537999629974365,0.7294
0.9556199908256531,0.7323
0.9528399705886841,0.7331
0.952299952507019,0.728
0.9549999833106995,0.7238
0.9546200037002563,0.7298
0.9536399841308594,0.7289
0.9531399607658386,0.7237
0.9773199558258057,0.7543
0.9862399697303772,0.7586
0.9875800013542175,0.761
0.9909999966621399,0.7589
0.9923200011253357,0.7615
0.9922199845314026,0.7599
0.9925400018692017,0.7616
0.9938199520111084,0.7626
0.9943400025367737,0.7638
0.9937799572944641,0.7645
0.9946999549865723,0.7641
0.9948999881744385,0.7647
0.9948999881744385,0.762
0.9951399564743042,0.7646
0.9955599904060364,0.7634
0.9957399964332581,0.764
0.9957000017166138,0.7624
0.9960799813270569,0.7628
0.9961999654769897,0.7636
0.9965999722480774,0.7625
0.99617999792099,0.7615
0.9966199994087219,0.7619
0.9964799880981445,0.7634
0.9961599707603455,0.7629
0.9971199631690979,0.7625
0.9966199994087219,0.7605
0.9967599511146545,0.7606
0.9971399903297424,0.7632
0.997219979763031,0.7614
0.9970399737358093,0.7623
0.997219979763031,0.7634
0.9973399639129639,0.7641
0.9971199631690979,0.7621
0.997439980506897,0.7641
