Training Loss,Validation Loss
0.12293999642133713,0.1893
0.25336000323295593,0.2976
0.3666200041770935,0.3848
0.43845999240875244,0.4167
0.48795998096466064,0.485
0.5266599655151367,0.5055
0.5519199967384338,0.5335
0.5732799768447876,0.5508
0.5894599556922913,0.5331
0.6008599996566772,0.5588
0.6105799674987793,0.5542
0.6202200055122375,0.5565
0.6299200057983398,0.5709
0.636139988899231,0.5645
0.6424799561500549,0.5806
0.6464200019836426,0.5747
0.6525799632072449,0.5816
0.6553999781608582,0.5563
0.6617799997329712,0.5842
0.6634599566459656,0.5772
0.6661399602890015,0.5928
0.6697799563407898,0.6094
0.671779990196228,0.5936
0.6743199825286865,0.602
0.6771199703216553,0.5673
0.677619993686676,0.5944
0.6808399558067322,0.5983
0.6821799874305725,0.5992
0.6843000054359436,0.5984
0.6862599849700928,0.5897
0.6852200031280518,0.5606
0.6906399726867676,0.573
0.6873599886894226,0.5939
0.8036800026893616,0.7358
0.8401199579238892,0.7371
0.8587200045585632,0.7421
0.8741399645805359,0.7461
0.8814599514007568,0.7427
0.8898199796676636,0.7457
0.899179995059967,0.7463
0.9076599478721619,0.7486
0.914639949798584,0.7464
0.9202399849891663,0.7485
0.9250399470329285,0.7458
0.9303799867630005,0.7476
0.9341599941253662,0.7419
0.9379400014877319,0.7411
0.9427799582481384,0.7441
0.9427399635314941,0.7455
0.9478199481964111,0.7412
0.9457399845123291,0.7392
0.9498800039291382,0.7398
0.9521999955177307,0.7387
0.9529799818992615,0.7348
0.9532199501991272,0.7387
0.9532999992370605,0.7333
0.9569399952888489,0.734
0.954539954662323,0.726
0.9548999667167664,0.7349
0.9532199501991272,0.7292
0.9529799818992615,0.7267
0.9540999531745911,0.7269
0.9533599615097046,0.7318
0.9536399841308594,0.7225
0.9528200030326843,0.7281
0.9528399705886841,0.7181
0.977679967880249,0.7525
0.986519992351532,0.7568
0.9890599846839905,0.7632
0.9894799590110779,0.7615
0.9918999671936035,0.7614
0.99235999584198,0.7606
0.9924999475479126,0.7608
0.9927600026130676,0.7616
0.9934599995613098,0.7612
0.9939999580383301,0.7628
0.9952999949455261,0.7636
0.9949999451637268,0.7632
0.9954399466514587,0.7594
0.9955599904060364,0.762
0.9951199889183044,0.7599
0.9956599473953247,0.762
0.9956599473953247,0.7597
0.9958199858665466,0.7632
0.9961999654769897,0.7602
0.9957199692726135,0.7629
0.9965399503707886,0.7599
0.9965599775314331,0.7584
0.996399998664856,0.7601
0.9961599707603455,0.7599
0.9968799948692322,0.7599
0.9967399835586548,0.7606
0.9968400001525879,0.7629
0.9970799684524536,0.7615
0.9968999624252319,0.7622
0.9971199631690979,0.7638
0.9973399639129639,0.7609
0.9975000023841858,0.7626
0.9973799586296082,0.7619
0.9972800016403198,0.7615
