Training Loss,Validation Loss
0.13218000531196594,0.2125
0.2421800047159195,0.2715
0.3196600079536438,0.3652
0.37362000346183777,0.3714
0.4038200080394745,0.3929
0.4248799979686737,0.4126
0.44405999779701233,0.4117
0.4534800052642822,0.405
0.4638800024986267,0.4039
0.46955999732017517,0.4304
0.4752799868583679,0.4588
0.48287999629974365,0.4518
0.4826599955558777,0.4515
0.48824000358581543,0.4379
0.490339994430542,0.4481
0.4934200048446655,0.4404
0.4927400052547455,0.437
0.4971800148487091,0.4343
0.49862000346183777,0.3507
0.5034999847412109,0.4639
0.5034199953079224,0.4457
0.5056599974632263,0.3935
0.5073999762535095,0.4142
0.5061799883842468,0.4739
0.5081999897956848,0.4909
0.5066400170326233,0.4387
0.5095999836921692,0.475
0.511139988899231,0.4629
0.5111799836158752,0.427
0.510200023651123,0.4593
0.5139600038528442,0.398
0.5145800113677979,0.4747
0.5127599835395813,0.4848
0.5872200131416321,0.5829
0.6077200174331665,0.589
0.612339973449707,0.5935
0.6175000071525574,0.5916
0.6230400204658508,0.5936
0.6238600015640259,0.5937
0.625,0.588
0.6249200105667114,0.5912
0.6279399991035461,0.5952
0.6265000104904175,0.5909
0.6296799778938293,0.5953
0.6326799988746643,0.5893
0.6308599710464478,0.6028
0.6332399845123291,0.5954
0.6327999830245972,0.5881
0.6338000297546387,0.5852
0.6322600245475769,0.5843
0.6333000063896179,0.5881
0.6330400109291077,0.5871
0.6356599926948547,0.5882
0.633679986000061,0.5927
0.6340600252151489,0.5885
0.633400022983551,0.5859
0.6367800235748291,0.5873
0.633899986743927,0.5921
0.6333199739456177,0.591
0.6325399875640869,0.5735
0.6349999904632568,0.5807
0.6351000070571899,0.5792
0.632860004901886,0.5924
0.6317600011825562,0.5836
0.6340600252151489,0.5803
0.6380599737167358,0.5837
0.6646000146865845,0.6229
0.669219970703125,0.6251
0.671280026435852,0.6247
0.6732000112533569,0.6258
0.6750400066375732,0.6258
0.6762800216674805,0.627
0.6758000254631042,0.6247
0.6740599870681763,0.6258
0.6769199967384338,0.6273
0.6752600073814392,0.628
0.6770200133323669,0.6265
0.6766999959945679,0.625
0.6749399900436401,0.6237
0.6753600239753723,0.6281
0.6750400066375732,0.6277
0.6769000291824341,0.6233
0.6779999732971191,0.6276
0.6790199875831604,0.6269
0.677619993686676,0.6244
0.6769000291824341,0.6252
0.6794599890708923,0.6268
0.6800400018692017,0.6277
0.6800600290298462,0.6275
0.6795799732208252,0.6265
0.6786999702453613,0.6279
0.679419994354248,0.6259
0.6802800297737122,0.6271
0.6819400191307068,0.6258
0.6789799928665161,0.6271
0.6802399754524231,0.626
0.679639995098114,0.6249
0.6809599995613098,0.6287
0.6809599995613098,0.6259
0.6815400123596191,0.6257
