Training Loss,Validation Loss
0.4623199999332428,0.5596
0.6382200121879578,0.6809
0.6967200040817261,0.7069
0.7268999814987183,0.7288
0.7420799732208252,0.7141
0.7519999742507935,0.7491
0.7612199783325195,0.7471
0.7714999914169312,0.7687
0.7749800086021423,0.7529
0.7811200022697449,0.7234
0.7804799675941467,0.7436
0.7861999869346619,0.7606
0.7882999777793884,0.7911
0.7901600003242493,0.7947
0.7903800010681152,0.7617
0.7945799827575684,0.754
0.794439971446991,0.7891
0.7961799502372742,0.7496
0.7986199855804443,0.7479
0.7994399666786194,0.7811
0.8012799620628357,0.7766
0.8035599589347839,0.7611
0.8035399913787842,0.7983
0.8045600056648254,0.7813
0.8027799725532532,0.7805
0.8051999807357788,0.7613
0.8059599995613098,0.7433
0.8062599897384644,0.7186
0.8070399761199951,0.7892
0.8039799928665161,0.7772
0.8078199625015259,0.7517
0.806719958782196,0.762
0.8085799813270569,0.7794
0.8489999771118164,0.8538
0.8609399795532227,0.856
0.8648999929428101,0.8565
0.8683199882507324,0.8563
0.8691200017929077,0.8597
0.871399998664856,0.8538
0.8736000061035156,0.8545
0.8717199563980103,0.8583
0.8742799758911133,0.8564
0.8743000030517578,0.8595
0.8764399886131287,0.8638
0.8759399652481079,0.8637
0.8766199946403503,0.8574
0.8781200051307678,0.8612
0.8774600028991699,0.8595
0.8789399862289429,0.8603
0.8793999552726746,0.8596
0.8799200057983398,0.8573
0.8784599900245667,0.8607
0.8778799772262573,0.8538
0.8774199485778809,0.8565
0.8791199922561646,0.8613
0.8804999589920044,0.8621
0.878600001335144,0.8557
0.8801800012588501,0.8626
0.8817600011825562,0.8577
0.8797599673271179,0.8633
0.8791799545288086,0.8597
0.8789199590682983,0.8597
0.8795199990272522,0.8594
0.8786599636077881,0.861
0.8790799975395203,0.8677
0.8777599930763245,0.8614
0.8926799893379211,0.8746
0.8985599875450134,0.8767
0.8998799920082092,0.8758
0.8984999656677246,0.8766
0.9002199769020081,0.8787
0.9011799693107605,0.8793
0.9023799896240234,0.8761
0.8996599912643433,0.8797
0.903719961643219,0.8782
0.9037599563598633,0.8773
0.902679979801178,0.8788
0.9017399549484253,0.8789
0.9028199911117554,0.8787
0.9029199481010437,0.8804
0.9043599963188171,0.8805
0.9033799767494202,0.8806
0.9050999879837036,0.8796
0.9046199917793274,0.8798
0.9022600054740906,0.8803
0.9043399691581726,0.8797
0.9061399698257446,0.8797
0.9047399759292603,0.8803
0.9041599631309509,0.8795
0.9058600068092346,0.8794
0.9041599631309509,0.8821
0.9041599631309509,0.8805
0.9046199917793274,0.8798
0.9066199660301208,0.88
0.9074199795722961,0.8788
0.9074199795722961,0.8801
0.9060199856758118,0.8797
0.9065999984741211,0.8785
0.9068599939346313,0.8812
0.9083999991416931,0.8812
