Training Loss,Validation Loss
0.011219999752938747,0.3653
0.010199999436736107,0.4717
0.010040000081062317,0.5296
0.00981999933719635,0.5338
0.009399999864399433,0.6548
0.00981999933719635,0.6507
0.009920000098645687,0.6565
0.00977999996393919,0.6818
0.009320000186562538,0.6103
0.009920000098645687,0.7412
0.010160000063478947,0.6663
0.01005999930202961,0.7219
0.010079999454319477,0.7382
0.010079999454319477,0.664
0.009859999641776085,0.703
0.009560000151395798,0.7533
0.0094200000166893,0.7194
0.009719999507069588,0.6646
0.009739999659359455,0.7481
0.009800000116229057,0.7339
0.009599999524652958,0.7293
0.010199999436736107,0.7389
0.009920000098645687,0.7207
0.009739999659359455,0.758
0.009920000098645687,0.7569
0.010280000045895576,0.7288
0.00965999998152256,0.6587
0.01013999991118908,0.7533
0.00993999931961298,0.7038
0.009719999507069588,0.7053
0.00965999998152256,0.7305
0.009619999676942825,0.7327
0.009519999846816063,0.7624
0.00993999931961298,0.8059
0.00993999931961298,0.8175
0.009999999776482582,0.8113
0.009999999776482582,0.8201
0.010199999436736107,0.8186
0.009560000151395798,0.8099
0.009920000098645687,0.8214
0.010099999606609344,0.8118
0.010079999454319477,0.825
0.009999999776482582,0.8184
0.009680000133812428,0.8176
0.01001999992877245,0.8177
0.01013999991118908,0.8195
0.00969999935477972,0.8119
0.009839999489486217,0.8228
0.009759999811649323,0.8165
0.009959999471902847,0.821
0.009680000133812428,0.8263
0.01005999930202961,0.8211
0.009959999471902847,0.8245
0.01005999930202961,0.8253
0.010199999436736107,0.8178
0.009999999776482582,0.8212
0.009619999676942825,0.8257
0.00993999931961298,0.8136
0.010119999758899212,0.8197
0.010259999893605709,0.8199
0.010540000163018703,0.8217
0.009719999507069588,0.8198
0.010359999723732471,0.8216
0.009599999524652958,0.791
0.009800000116229057,0.8208
0.009879999794065952,0.8189
0.009879999794065952,0.8267
0.01005999930202961,0.8304
0.010400000028312206,0.8293
0.010300000198185444,0.8308
0.00945999938994646,0.8308
0.010420000180602074,0.8349
0.009759999811649323,0.8323
0.01001999992877245,0.8309
0.010259999893605709,0.8301
0.009920000098645687,0.8284
0.01013999991118908,0.8335
0.010300000198185444,0.8317
0.00981999933719635,0.8352
0.009879999794065952,0.8346
0.010379999876022339,0.8327
0.010079999454319477,0.8308
0.01001999992877245,0.8292
0.010219999589025974,0.8332
0.009839999489486217,0.8309
0.00957999937236309,0.8334
0.010040000081062317,0.8314
0.009999999776482582,0.8321
0.009719999507069588,0.8349
0.010420000180602074,0.8328
0.009959999471902847,0.8302
0.010280000045895576,0.8363
0.01001999992877245,0.8326
0.010400000028312206,0.8305
0.010199999436736107,0.8332
0.010199999436736107,0.8342
0.009859999641776085,0.8334
0.009920000098645687,0.8316
0.009680000133812428,0.8347
0.00953999999910593,0.8344
