Training Loss,Validation Loss
0.11639999598264694,0.6174
0.1103999987244606,0.7122
0.11093999445438385,0.7042
0.11087999492883682,0.7202
0.11071999371051788,0.7422
0.11239999532699585,0.7388
0.11295999586582184,0.703
0.1123799979686737,0.7537
0.11285999417304993,0.6155
0.11225999891757965,0.7038
0.11191999912261963,0.7018
0.11202000081539154,0.7174
0.11285999417304993,0.7536
0.11353999376296997,0.7115
0.1129399985074997,0.6959
0.11257999390363693,0.7508
0.11217999458312988,0.7329
0.11311999708414078,0.71
0.11321999877691269,0.6973
0.11270000040531158,0.7106
0.11270000040531158,0.6395
0.11301999539136887,0.7284
0.11273999512195587,0.6794
0.11191999912261963,0.7008
0.11249999701976776,0.7345
0.11295999586582184,0.7052
0.1130799949169159,0.7393
0.1134599968791008,0.6483
0.11247999966144562,0.7339
0.11236000061035156,0.6802
0.1119999960064888,0.6936
0.1129399985074997,0.698
0.11441999673843384,0.7634
0.11219999939203262,0.6201
0.11287999898195267,0.6863
0.11271999776363373,0.6959
0.1130400002002716,0.7283
0.1116199940443039,0.7036
0.11287999898195267,0.6696
0.11257999390363693,0.7123
0.11277999728918076,0.7373
0.11351999640464783,0.7299
0.11400000005960464,0.6474
0.11385999619960785,0.6939
0.11391999572515488,0.7288
0.11273999512195587,0.6919
0.11301999539136887,0.7233
0.11242000013589859,0.708
0.11403999477624893,0.7106
0.11323999613523483,0.733
0.1125199943780899,0.6808
0.11243999749422073,0.7245
0.11197999864816666,0.6942
0.11311999708414078,0.7076
0.11375999450683594,0.7605
0.11335999518632889,0.7323
0.11167999356985092,0.7191
0.11205999553203583,0.7106
0.11319999396800995,0.7484
0.11394000053405762,0.7341
0.11291999369859695,0.6995
0.11261999607086182,0.7431
0.11366000026464462,0.7085
0.11437999457120895,0.7386
0.11239999532699585,0.7042
0.11323999613523483,0.7344
0.11267999559640884,0.7332
0.11291999369859695,0.7232
0.11355999857187271,0.7584
0.11221999675035477,0.6781
0.1133200004696846,0.7006
