Training Loss,Validation Loss
0.3665199875831604,0.4759
0.6000999808311462,0.6437
0.708899974822998,0.7127
0.7731199860572815,0.7585
0.8220399618148804,0.8263
0.8503199815750122,0.8222
0.8643800020217896,0.7996
0.8743199706077576,0.8607
0.8804999589920044,0.8428
0.8855399489402771,0.8559
0.8882799744606018,0.8488
0.8914600014686584,0.8702
0.8934399485588074,0.8452
0.8967399597167969,0.8799
0.8971799612045288,0.8496
0.8998199701309204,0.8874
0.9051199555397034,0.8793
0.9024800062179565,0.8628
0.9029600024223328,0.8756
0.9046399593353271,0.8662
0.9049599766731262,0.8756
0.9054399728775024,0.8702
0.9064599871635437,0.865
0.906059980392456,0.8717
0.9073399901390076,0.8798
0.9085999727249146,0.8799
0.9086799621582031,0.8693
0.9094599485397339,0.8645
0.9083999991416931,0.8655
0.9096799492835999,0.8853
0.9108999967575073,0.8788
0.9108999967575073,0.8627
0.9092199802398682,0.873
0.9354599714279175,0.9161
0.9457599520683289,0.9151
0.9467599987983704,0.9174
0.9511999487876892,0.9177
0.9517399668693542,0.9189
0.9521199464797974,0.9198
0.9535799622535706,0.9205
0.9541800022125244,0.9187
0.9553599953651428,0.9181
0.9569599628448486,0.9192
0.9580000042915344,0.919
0.960099995136261,0.9196
0.958359956741333,0.9169
0.9598599672317505,0.9185
0.9609799981117249,0.9168
0.9610399603843689,0.9174
0.961139976978302,0.9175
0.9633999466896057,0.9158
0.9638199806213379,0.9195
0.962939977645874,0.9181
0.9648199677467346,0.9155
0.9645999670028687,0.9153
0.9641599655151367,0.9146
0.9653199911117554,0.9149
0.9664999842643738,0.9163
0.9647599458694458,0.916
0.9665799736976624,0.9157
0.9651399850845337,0.9152
0.966219961643219,0.9173
0.9669999480247498,0.9143
0.965999960899353,0.9141
0.9671599864959717,0.9133
0.9671799540519714,0.9152
0.9729999899864197,0.9177
0.9736999869346619,0.9191
0.975339949131012,0.92
0.9754199981689453,0.9183
0.9761399626731873,0.9184
0.9759999513626099,0.9183
0.9763199687004089,0.9174
0.975879967212677,0.9163
0.9763999581336975,0.9185
0.977400004863739,0.919
0.9772199988365173,0.9176
0.9772799611091614,0.9172
0.9758399724960327,0.9185
0.9778800010681152,0.9176
0.9774799942970276,0.918
0.9770799875259399,0.9174
0.9778399467468262,0.917
0.9779999852180481,0.9179
0.9780799746513367,0.9192
0.9771199822425842,0.917
0.9786799550056458,0.918
0.9775999784469604,0.917
0.9794399738311768,0.9175
0.9775599837303162,0.9181
0.978939950466156,0.9189
0.9786999821662903,0.9183
0.9788999557495117,0.9181
0.978879988193512,0.9166
0.9784599542617798,0.9169
0.9792799949645996,0.9188
0.978939950466156,0.9171
0.9796199798583984,0.9176
0.9792199730873108,0.9188
0.9783599972724915,0.9185
